Opponent,Date,Score,w/l,fgm-fga,pct,3fg-fga,pct,ftm-fta,pct,off,def,tot,avg,pf,ast,t/o,blk,stl,pts,avg,Season
FERRUM,1/14/12,107-79,W,29-77,.377,3-12,.250,18-23,.783,18,15,33,39.1,22,7,15,6,12,79,71.9,2011-2012
SHENANDOAH,1/18/12,77-58,W,21-51,.412,6-22,.273,10-17,.588,3,23,26,38.3,24,8,14,2,4,58,71.0,2011-2012
at Greensboro College,1/21/12,91-69,W,27-78,.346,4-26,.154,11-15,.733,16,22,38,38.3,22,14,12,2,7,69,70.9,2011-2012
SALISBURY,1/23/12,81-65,W,25-60,.417,7-19,.368,8-10,.800,13,18,31,37.9,19,12,20,1,7,65,70.6,2011-2012
at Averett,1/25/12,91-72,W,20-59,.339,8-22,.364,24-28,.857,13,21,34,37.7,16,12,15,3,5,72,70.6,2011-2012
vs #5 Va. Wesleyan,1/28/12,74-89,L,33-70,.471,8-19,.421,15-18,.833,9,27,36,37.6,19,20,9,3,9,89,71.6,2011-2012
N.C. WESLEYAN,1/31/12,73-71,W,26-67,.388,5-12,.417,14-20,.700,20,29,49,38.1,19,16,16,4,8,71,71.5,2011-2012
at Ferrum,2/5/12,85-78,W,31-63,.492,5-13,.385,11-17,.647,13,18,31,37.8,23,14,12,3,5,78,71.8,2011-2012
GREENSBORO COLLEGE,2/11/12,106-79,W,29-63,.460,8-21,.381,13-22,.591,17,15,32,37.6,20,16,17,4,7,79,72.1,2011-2012
at Shenandoah Hornets,2/15/12,69-60,W,23-56,.411,2-15,.133,12-20,.600,9,29,38,37.6,24,6,18,2,5,60,71.6,2011-2012
AVERETT,2/18/12,99-95,W,33-77,.429,11-23,.478,18-27,.667,23,26,49,38.0,28,20,15,3,7,95,72.6,2011-2012
METHODIST,2/24/12,97-62,W,23-72,.319,6-24,.250,10-13,.769,18,23,41,38.2,13,7,13,3,5,62,72.2,2011-2012
GREENSBORO COLLEGE,2/26/12,82-72,W,26-57,.456,10-30,.333,10-12,.833,7,20,27,37.7,26,14,22,0,12,72,72.1,2011-2012
vs Western Connecticut,3/2/2012,84-94,L,31-73,.425,9-29,.310,23-25,.920,15,29,44,38.0,16,7,13,4,6,94,72.9,2011-2012
RANDOLPH-MACON,11/15/12,77-70,W,28-75,.373,4-28,.143,10-20,.500,16,32,48,48.0,23,17,11,5,7,70,70.0,2012-2013
at Salisbury,11/20/12,77-63,W,18-55,.327,4-23,.174,23-30,.767,14,22,36,42.0,15,6,16,1,6,63,66.5,2012-2013
WESLEY,11/24/12,81-79,Wot,24-78,.308,8-26,.308,23-38,.605,20,40,60,48.0,28,15,31,1,14,79,70.7,2012-2013
JOHN CARROLL,11/25/12,85-84,W,30-61,.492,12-28,.429,12-14,.857,10,20,30,43.5,19,15,15,4,6,84,74.0,2012-2013
at Maryville College Scots,12/1/12,79-62,W,20-62,.323,5-19,.263,17-20,.850,16,23,39,42.6,16,9,11,6,3,62,71.6,2012-2013
at St. Mary's (Md.),12/5/12,60-65,L,22-43,.512,7-12,.583,14-24,.583,9,20,29,40.3,13,12,17,5,5,65,70.5,2012-2013
EASTERN MENNONITE,12/17/12,66-46,W,17-62,.274,3-16,.188,9-19,.474,15,22,37,39.9,21,5,18,2,7,46,67.0,2012-2013
HEIDELBERG,12/28/12,65-53,W,18-55,.327,5-23,.217,12-18,.667,9,29,38,39.6,19,7,16,5,2,53,65.2,2012-2013
BRIDGEWATER,12/29/12,97-74,W,22-59,.373,8-20,.400,22-35,.629,16,19,35,39.1,22,3,19,3,11,74,66.2,2012-2013
FERRUM,1/2/13,76-58,W,21-62,.339,6-28,.214,10-17,.588,18,20,38,39.0,15,8,18,5,4,58,65.4,2012-2013
at Methodist,1/5/13,68-48,W,14-56,.250,2-12,.167,18-27,.667,13,19,32,38.4,15,7,15,4,7,48,63.8,2012-2013
at Greensboro College,1/6/13,90-60,W,21-62,.339,8-26,.308,10-16,.625,14,21,35,38.1,13,9,12,2,3,60,63.5,2012-2013
at N.C. Wesleyan,1/9/13,109-112,Lot,41-76,.539,14-27,.519,16-26,.615,15,33,48,38.8,26,13,16,0,7,112,67.2,2012-2013
LAGRANGE,1/12/13,86-76,W,22-54,.407,5-13,.385,27-32,.844,9,28,37,38.7,19,8,21,7,7,76,67.9,2012-2013
MARYVILLE,1/19/13,79-71,W,22-68,.324,11-26,.423,16-18,.889,11,29,40,38.8,19,15,9,4,5,71,68.1,2012-2013
AVERETT,1/23/13,76-52,W,19-72,.264,6-19,.316,8-14,.571,23,27,50,39.5,11,4,15,7,8,52,67.1,2012-2013
METHODIST,1/26/13,78-57,W,21-60,.350,4-15,.267,11-15,.733,8,19,27,38.8,19,8,11,6,12,57,66.5,2012-2013
GREENSBORO,2/2/13,69-72,L,27-61,.443,11-25,.440,7-12,.583,6,25,31,38.3,24,15,13,3,8,72,66.8,2012-2013
VA. WESLEYAN,2/4/13,66-79,L,29-63,.460,12-23,.522,9-15,.600,10,33,43,38.6,22,15,9,7,1,79,67.4,2012-2013
at LaGrange,2/9/13,68-73,L,27-61,.443,7-20,.350,12-26,.462,18,29,47,39.0,11,19,14,5,6,73,67.7,2012-2013
N.C. WESLEYAN,2/13/13,93-67,W,23-64,.359,5-16,.313,16-20,.800,17,26,43,39.2,23,9,21,5,5,67,67.7,2012-2013
at Averett,2/16/13,77-56,W,19-55,.345,4-16,.250,14-18,.778,8,17,25,38.5,12,7,7,0,3,56,67.1,2012-2013
at Ferrum,2/17/13,76-52,W,18-53,.340,4-15,.267,12-18,.667,11,18,29,38.1,14,5,13,2,5,52,66.5,2012-2013
vs Averett,2/21/13,74-58,W,19-60,.317,3-18,.167,17-25,.680,13,24,37,38.1,16,9,15,2,8,58,66.1,2012-2013
vs N.C. Wesleyan,2/22/13,72-59,W,23-68,.338,1-16,.063,12-20,.600,18,24,42,38.2,19,7,10,5,5,59,65.8,2012-2013
vs Greensboro,2/23/13,81-74,W,25-63,.397,9-25,.360,15-20,.750,11,19,30,37.9,18,9,11,3,7,74,66.2,2012-2013
RUTGERS-NEWARK,3/2/13,84-72,W,27-67,.403,5-14,.357,13-22,.591,13,28,41,38.0,20,7,11,5,6,72,66.4,2012-2013
at Virginia Wesleyan,3/9/13,69-80,L,27-57,.474,5-12,.417,21-28,.750,12,26,38,38.0,18,13,10,5,3,80,66.9,2012-2013
ARCADIA,11/16/13,79-66,W,27-64,.422,4-19,.211,8-14,.571,10,27,37,37.0,22,10,15,3,9,66,66.0,2013-2014
at Randolph-Macon,11/19/13,84-83,W,29-65,.446,9-25,.360,16-22,.727,19,25,44,40.5,18,16,7,3,6,83,74.5,2013-2014
YORK (NY),11/23/13,89-83,W,29-70,.414,6-19,.316,19-25,.760,12,20,32,37.7,21,13,8,1,9,83,77.3,2013-2014
EMORY,11/24/13,90-92,L,31-62,.500,10-22,.455,20-21,.952,4,27,31,36.0,25,15,10,1,6,92,81.0,2013-2014
at Eastern Mennonite,12/1/13,68-59,W,21-53,.396,2-10,.200,15-22,.682,9,21,30,34.8,14,7,8,3,4,59,76.6,2013-2014
at Southern Virginia University,12/4/13,80-54,W,19-54,.352,6-19,.316,10-15,.667,7,21,28,33.7,16,15,17,0,5,54,72.8,2013-2014
at York (Pa.),12/07/13,63-60,W,22-50,.440,8-18,.444,8-12,.667,8,22,30,33.1,16,11,21,2,10,60,71.0,2013-2014
at Virginia Wesleyan,12/15/13,83-80,Wot,26-54,.481,13-28,.464,15-29,.517,9,23,32,33.0,17,21,18,5,4,80,72.1,2013-2014
SALISBURY,12/18/13,56-47,W,16-57,.281,5-26,.192,10-18,.556,9,28,37,33.4,18,5,9,3,5,47,69.3,2013-2014
PITT-GREENSBURG,12/30/13,76-70,W,24-52,.462,11-24,.458,11-17,.647,7,30,37,33.8,26,14,21,1,7,70,69.4,2013-2014
FROSTBURG STATE,1/4/14,72-59,W,23-66,.348,5-12,.417,8-16,.500,20,23,43,34.6,25,10,15,6,5,59,68.5,2013-2014
WESLEY,1/8/14,46-64,L,20-46,.435,4-12,.333,20-27,.741,7,34,41,35.2,18,7,15,2,8,64,68.1,2013-2014
at Penn St. Harrisburg,1/11/14,60-63,Lot,22-56,.393,5-23,.217,14-26,.538,10,23,33,35.0,21,12,19,4,10,63,67.7,2013-2014
at Mary Washington,1/15/14,65-76,L,19-48,.396,7-19,.368,31-42,.738,8,27,35,35.0,15,11,13,2,10,76,68.3,2013-2014
MARYMOUNT,1/18/14,76-69,W,22-48,.458,3-11,.273,22-34,.647,9,23,32,34.8,26,6,14,2,3,69,68.3,2013-2014
at Frostburg State,1/25/14,84-41,W,14-54,.259,0-12,.000,13-18,.722,10,22,32,34.6,17,7,16,2,3,41,66.6,2013-2014
at St. Mary's (Md.),1/27/14,62-73,L,23-46,.500,7-13,.538,20-28,.714,6,19,25,34.1,9,9,11,1,10,73,67.0,2013-2014
YORK (PA.),2/1/14,73-57,W,21-41,.512,1-10,.100,14-25,.560,7,23,30,33.8,16,9,14,2,5,57,66.4,2013-2014
SOUTHERN VIRGINIA UNIVERSITY,2/3/14,91-76,W,28-58,.483,6-22,.273,14-19,.737,13,16,29,33.6,22,8,16,0,5,76,66.9,2013-2014
