Opponent,Date,Score,w/l,fgm-fga,pct,3fg-fga,pct,ftm-fta,pct,off,def,tot,avg,pf,ast,t/o,blk,stl,pts,avg,Season
at Dickinson,11/27/16,76-56,W,21-46,.457,6-15,.400,8-13,.615,4,18,22,31.3,14,11,16,10,6,56,57.0,2016-2017
SOUTHERN VIRGINIA,11/30/16,80-55,W,19-55,.345,5-12,.417,12-18,.667,11,21,32,31.4,15,11,17,2,5,55,56.6,2016-2017
FROSTBURG STATE,12/03/16,62-53,W,18-57,.316,4-15,.267,13-20,.650,18,26,44,33.5,21,6,15,9,5,53,56.0,2016-2017
YORK (PA.),12/11/16,85-59,W,19-54,.352,8-25,.320,13-19,.684,8,25,33,33.4,19,11,14,4,5,59,56.4,2016-2017
at Salisbury,12/17/16,58-59,L,21-60,.350,5-17,.294,12-15,.800,11,27,38,34.0,12,10,8,7,5,59,56.8,2016-2017
PITT-GREENSBURG,12/28/16,96-43,W,17-52,.327,6-18,.333,3-9,.333,7,28,35,34.1,12,8,30,8,4,43,55.2,2016-2017
OLD WESTBURY,12/29/16,86-41,W,15-61,.246,1-11,.091,10-20,.500,13,18,31,33.8,19,3,13,8,7,41,53.8,2016-2017
VIRGINIA WESLEYAN,01/01/17,86-75,W,26-67,.388,9-20,.450,14-24,.583,15,25,40,34.4,21,13,4,7,4,75,55.7,2016-2017
at Wesley,01/04/17,71-62,W,21-55,.382,4-9,.444,16-20,.800,21,21,42,35.0,21,7,18,4,2,62,56.2,2016-2017
at Marymount (VA),01/08/17,70-57,W,18-45,.400,2-12,.167,19-30,.633,9,26,35,35.0,16,5,15,7,3,57,56.3,2016-2017
ST. MARY'S (MD.),01/11/17,68-60,W,20-43,.465,4-6,.667,16-21,.762,6,28,34,34.9,26,12,21,3,4,60,56.6,2016-2017
at Penn St. Harrisburg,01/14/17,73-55,W,18-49,.367,2-10,.200,17-25,.680,7,27,34,34.9,29,4,10,3,5,55,56.5,2016-2017
MARY WASHINGTON,01/18/17,81-65,W,22-64,.344,5-18,.278,16-22,.727,11,24,35,34.9,17,11,8,5,5,65,57.0,2016-2017
at Frostburg,01/21/17,93-67,W,26-67,.388,4-11,.364,11-20,.550,21,18,39,35.1,17,12,11,1,5,67,57.6,2016-2017
SALISBURY,01/25/17,55-53,W,18-59,.305,8-22,.364,9-10,.900,11,26,37,35.2,18,9,10,3,8,53,57.3,2016-2017
PENN ST. HARRISBURG,01/28/17,75-47,W,16-59,.271,3-19,.158,12-21,.571,12,25,37,35.3,22,5,16,7,5,47,56.8,2016-2017
at Mary Washington,02/01/17,73-63,W,19-64,.297,8-20,.400,17-26,.654,15,31,46,35.8,21,8,13,5,7,63,57.1,2016-2017
at St. Mary's (Md.),02/04/17,88-61,W,17-52,.327,6-12,.500,21-32,.656,6,19,25,35.3,21,9,14,1,9,61,57.3,2016-2017
MARYMOUNT (VA),02/08/17,72-52,W,15-53,.283,1-7,.143,21-26,.808,12,22,34,35.3,13,5,15,3,5,52,57.0,2016-2017
WESLEY,02/11/17,90-50,W,22-63,.349,2-9,.222,4-11,.364,10,21,31,35.1,12,10,14,3,8,50,56.7,2016-2017
at Southern Virginia,02/15/17,69-45,W,14-58,.241,3-17,.176,14-26,.538,12,26,38,35.2,18,6,17,3,11,45,56.2,2016-2017
at York (Pa.),02/18/17,70-59,W,20-50,.400,5-17,.294,14-20,.700,2,22,24,34.8,25,13,14,7,11,59,56.4,2016-2017
MARYMOUNT (VA),02/23/17,78-53,W,17-46,.370,1-13,.077,18-23,.783,7,20,27,34.5,18,6,11,2,1,53,56.2,2016-2017
SALISBURY,02/25/17,63-62,W,22-54,.407,5-14,.357,13-18,.722,12,26,38,34.6,18,6,12,3,3,62,56.4,2016-2017
vs Morrisville State,03/03/17,81-45,W,14-48,.292,3-12,.250,14-22,.636,11,15,26,34.3,14,8,15,3,8,45,56.0,2016-2017
at Swarthmore,03/04/17,77-67,W,26-53,.491,7-16,.438,8-11,.727,5,20,25,34.0,20,11,13,8,5,67,56.4,2016-2017
vs Keene State,03/10/17,64-68,L,18-51,.353,3-10,.300,29-35,.829,11,32,43,34.3,19,8,12,1,3,68,56.8,2016-2017
at Randolph-Macon,11/15/17,69-64,W,27-63,.429,4-15,.267,6-13,.462,12,21,33,33.0,20,9,12,1,6,64,64.0,2017-2018
vs Catholic,11/18/17,80-78,W,31-64,.484,3-10,.300,13-17,.765,8,27,35,34.0,23,11,19,3,9,78,71.0,2017-2018
vs Wilmington (Ohio),11/19/17,82-64,W,22-65,.338,5-23,.217,15-24,.625,11,19,30,32.7,25,7,10,0,10,64,68.7,2017-2018
DICKINSON,11/26/17,54-64,L,26-61,.426,6-19,.316,6-11,.545,7,25,32,32.5,19,12,18,5,13,64,67.5,2017-2018
SALISBURY,11/29/17,71-66,W,24-67,.358,5-20,.250,13-18,.722,20,13,33,32.6,21,6,15,4,18,66,67.2,2017-2018
FROSTBURG STATE,12/02/17,81-83,Lot,32-74,.432,7-20,.350,12-22,.545,14,33,47,35.0,18,13,14,12,9,83,69.8,2017-2018
at St. Mary's (Md.),12/06/17,76-52,W,22-54,.407,2-9,.222,6-9,.667,5,20,25,33.6,14,9,16,7,5,52,67.3,2017-2018
WESLEY,12/10/17,83-69,W,23-71,.324,8-22,.364,15-21,.714,15,22,37,34.0,21,15,13,3,10,69,67.5,2017-2018
at Va. Wesleyan,12/18/17,71-68,W,29-63,.460,4-13,.308,6-15,.400,12,25,37,34.3,17,8,11,1,7,68,67.6,2017-2018
SHENANDOAH,12/29/17,74-71,W,25-62,.403,6-20,.300,15-22,.682,13,28,41,35.0,20,12,15,6,9,71,67.9,2017-2018
JOHNS HOPKINS,12/30/17,54-44,W,16-52,.308,6-23,.261,6-11,.545,4,27,31,34.6,15,11,14,8,6,44,65.7,2017-2018
PENN ST. HARRISBURG,01/03/18,73-63,W,21-61,.344,4-18,.222,17-29,.586,16,31,47,35.7,15,12,16,8,7,63,65.5,2017-2018
at Marymount (Va.),01/06/18,58-60,L,23-58,.397,5-14,.357,9-17,.529,14,18,32,35.4,13,9,13,6,12,60,65.1,2017-2018
at Southern Virginia,01/10/18,83-58,W,21-62,.339,4-15,.267,12-20,.600,11,23,34,35.3,14,10,15,3,4,58,64.6,2017-2018
at York (Pa.),01/13/18,69-79,L,25-46,.543,9-23,.391,20-26,.769,3,30,33,35.1,13,12,18,2,4,79,65.5,2017-2018
MARY WASHINGTON,01/17/18,76-62,W,19-63,.302,8-21,.381,16-24,.667,8,26,34,35.1,17,9,6,6,9,62,65.3,2017-2018
at Frostburg State,01/20/18,85-80,W,29-59,.492,5-13,.385,17-19,.895,6,26,32,34.9,19,12,11,6,8,80,66.2,2017-2018
ST. MARY'S (MD.),01/24/18,64-50,W,18-46,.391,4-10,.400,10-15,.667,8,25,33,34.8,14,9,17,2,4,50,65.3,2017-2018
at Wesley,01/27/18,68-48,W,14-55,.255,4-19,.211,16-19,.842,11,25,36,34.8,18,7,13,1,5,48,64.4,2017-2018
at Salisbury,01/31/18,72-57,W,18-63,.286,5-19,.263,16-29,.552,21,21,42,35.2,25,6,7,5,6,57,64.0,2017-2018
MARYMOUNT (VA.),02/03/18,66-68,L,26-54,.481,5-12,.417,11-14,.786,10,24,34,35.1,18,13,11,2,2,68,64.2,2017-2018
SOUTHERN VIRGINIA,02/07/18,76-62,W,27-66,.409,0-7,.000,8-16,.500,12,26,38,35.3,21,12,13,3,8,62,64.1,2017-2018
at Penn St. Harrisburg,02/10/18,69-53,W,17-58,.293,4-16,.250,15-22,.682,13,25,38,35.4,22,4,13,3,6,53,63.6,2017-2018
at Mary Washington,02/14/18,75-71,W,29-69,.420,5-17,.294,8-15,.533,11,29,40,35.6,12,13,11,4,11,71,63.9,2017-2018
YORK (PA.),02/17/18,81-71,W,24-61,.393,5-24,.208,18-28,.643,10,26,36,35.6,25,13,15,2,9,71,64.2,2017-2018
MARY WASHINGTON,02/22/18,90-74,W,28-67,.418,6-16,.375,12-16,.750,9,16,25,35.2,23,12,8,4,9,74,64.6,2017-2018
YORK (PA.),02/24/18,73-82,L,30-53,.566,6-13,.462,16-22,.727,5,25,30,35.0,14,14,13,2,6,82,65.2,2017-2018
LANCASTER BIBLE,03/02/18,68-65,W,24-65,.369,4-8,.500,13-19,.684,16,24,40,35.2,16,10,11,3,12,65,65.2,2017-2018
FRANKLIN & MARSHALL,03/03/18,52-66,L,22-69,.319,6-18,.333,16-18,.889,23,22,45,35.5,17,14,10,6,11,66,65.2,2017-2018
vs Trinity (TX),11/17/18,67-51,W,13-47,.277,0-7,.000,25-30,.833,11,24,35,35.0,12,4,19,3,6,51,51.0,2018-2019
at Marymount (VA),11/18/18,66-56,W,20-58,.345,4-19,.211,12-22,.545,10,29,39,37.0,20,8,17,4,7,56,53.5,2018-2019
METHODIST,11/24/18,73-59,W,20-62,.323,3-15,.200,16-21,.762,14,27,41,38.3,19,12,15,4,6,59,55.3,2018-2019
JOHN CARROLL,11/25/18,109-73,W,21-63,.333,9-26,.346,22-27,.815,13,23,36,37.8,24,8,21,9,6,73,59.8,2018-2019
at Shenandoah,11/28/18,91-78,W,26-72,.361,7-22,.318,19-40,.475,15,30,45,39.2,24,7,10,3,14,78,63.4,2018-2019
vs Randolph,12/01/18,82-48,W,18-59,.305,4-13,.308,8-13,.615,8,22,30,37.7,16,6,9,3,5,48,60.8,2018-2019
at Lynchburg,12/02/18,64-77,L,25-57,.439,7-17,.412,20-24,.833,6,38,44,38.6,22,6,9,3,7,77,63.1,2018-2019
RANDOLPH-MACON,12/08/18,72-61,W,23-57,.404,4-13,.308,11-15,.733,10,21,31,37.6,17,7,6,3,4,61,62.9,2018-2019
VA. WESLEYAN,12/16/18,97-67,W,23-60,.383,4-14,.286,17-25,.680,13,18,31,36.9,19,7,12,10,6,67,63.3,2018-2019
MT. ST. MARY (NY),12/28/18,80-47,W,15-56,.268,2-15,.133,15-24,.625,9,24,33,36.5,16,6,14,3,6,47,61.7,2018-2019
HUNTINGDON,12/29/18,79-52,W,19-64,.297,3-9,.333,11-18,.611,19,21,40,36.8,24,8,19,1,12,52,60.8,2018-2019
YORK (PA.),01/02/19,73-71,W,23-50,.460,9-20,.450,16-18,.889,10,20,30,36.2,28,7,14,2,4,71,61.7,2018-2019
at Mary Washington,01/05/19,61-69,L,23-60,.383,8-17,.471,15-17,.882,9,29,38,36.4,15,12,11,5,7,69,62.2,2018-2019
ST. MARY'S (MD.),01/09/19,79-52,W,15-61,.246,3-11,.273,19-28,.679,13,22,35,36.3,21,8,15,4,11,52,61.5,2018-2019
at Frostburg State,01/12/19,75-65,W,27-65,.415,5-21,.238,6-9,.667,10,21,31,35.9,19,16,8,5,7,65,61.7,2018-2019
at Southern Virginia,01/16/19,77-54,W,22-54,.407,3-13,.231,7-10,.700,7,24,31,35.6,16,15,12,8,3,54,61.2,2018-2019
PENN ST. HARRISBURG,01/19/19,89-61,W,22-55,.400,3-12,.250,14-21,.667,14,23,37,35.7,15,12,15,2,4,61,61.2,2018-2019
SALISBURY,01/23/19,67-64,W,26-63,.413,4-17,.235,8-10,.800,6,37,43,36.1,21,3,12,7,3,64,61.4,2018-2019
at York (Pa.),01/26/19,81-82,L,24-54,.444,6-22,.273,28-35,.800,8,25,33,35.9,21,7,14,2,10,82,62.5,2018-2019
at St. Mary's (Md.),01/30/19,79-76,W,29-58,.500,5-14,.357,13-19,.684,11,28,39,36.1,19,12,13,4,4,76,63.2,2018-2019
MARY WASHINGTON,02/02/19,80-66,W,23-65,.354,8-26,.308,12-21,.571,12,19,31,35.9,18,11,11,0,13,66,63.3,2018-2019
SOUTHERN VIRGINIA,02/06/19,67-64,W,25-59,.424,9-20,.450,5-9,.556,7,36,43,36.2,20,13,14,13,2,64,63.3,2018-2019
FROSTBURG STATE,02/09/19,72-64,W,22-53,.415,2-9,.222,18-26,.692,6,24,30,35.9,21,7,8,9,2,64,63.3,2018-2019
at Salisbury,02/13/19,91-74,W,28-61,.459,7-18,.389,11-17,.647,5,18,23,35.4,17,8,8,4,8,74,63.8,2018-2019
at Penn St.-Harrisburg,02/16/19,96-52,W,19-59,.322,4-13,.308,10-16,.625,8,22,30,35.2,15,7,9,4,5,52,63.3,2018-2019
SOUTHERN VIRGINIA,02/19/19,89-59,W,23-52,.442,4-16,.250,9-12,.750,5,27,32,35.0,16,10,18,4,6,59,63.2,2018-2019
SALISBURY,02/21/19,87-71,W,24-57,.421,7-22,.318,16-21,.762,11,17,28,34.8,31,7,12,4,7,71,63.4,2018-2019
YORK (PA.),02/23/19,78-56,W,20-59,.339,7-34,.206,9-14,.643,6,27,33,34.7,21,11,12,4,8,56,63.2,2018-2019
ALBERTUS MAGNUS,03/01/19,85-59,W,21-60,.350,4-17,.235,13-16,.813,13,25,38,34.8,26,5,18,8,5,59,63.0,2018-2019
ALFRED,03/02/19,88-53,W,22-64,.344,5-21,.238,4-4,1.000,5,25,30,34.7,15,5,11,3,6,53,62.7,2018-2019
at Hamilton,03/08/19,75-67,W,27-70,.386,9-28,.321,4-7,.571,8,27,35,34.7,19,14,8,9,3,67,62.8,2018-2019
vs Williams,03/09/19,79-70,W,25-53,.472,8-23,.348,12-15,.800,10,23,33,34.6,25,12,17,3,7,70,63.1,2018-2019
vs Swarthmore,03/15/19,63-70,L,28-57,.491,6-15,.400,8-16,.500,4,35,39,34.8,17,9,13,9,2,70,63.3,2018-2019
at Johns Hopkins,11/09/19,74-78,L,23-56,.411,7-20,.350,25-30,.833,8,25,33,33.0,21,10,11,1,7,78,78.0,2019-2020
SHENANDOAH,11/12/19,85-62,W,23-72,.319,6-22,.273,10-15,.667,14,27,41,37.0,17,9,14,6,8,62,70.0,2019-2020
vs Marywood University,11/15/19,87-56,W,20-56,.357,2-11,.182,14-19,.737,4,23,27,33.7,20,6,20,3,8,56,65.3,2019-2020
at Franklin & Marshall,11/16/19,74-66,W,26-56,.464,2-13,.154,12-17,.706,7,15,22,30.8,13,5,17,1,11,66,65.5,2019-2020
RANDOLPH,11/22/19,66-58,W,23-69,.333,5-15,.333,7-9,.778,12,31,43,33.2,9,10,14,8,9,58,64.0,2019-2020
LYNCHBURG,11/23/19,79-77,W,28-71,.394,10-31,.323,11-16,.688,17,27,44,35.0,21,11,10,4,9,77,66.2,2019-2020
UT DALLAS,11/30/19,90-62,W,24-62,.387,3-16,.188,11-17,.647,8,21,29,34.1,20,14,12,4,13,62,65.6,2019-2020
WISC.-STEVENS POINT,12/01/19,58-61,L,25-60,.417,4-19,.211,7-8,.875,13,22,35,34.2,19,9,14,2,9,61,65.0,2019-2020
WILLIAM PEACE,12/04/19,83-60,W,16-56,.286,5-22,.227,23-37,.622,15,25,40,34.9,22,5,20,5,10,60,64.4,2019-2020
at Randolph-Macon,12/07/19,62-79,L,32-61,.525,4-15,.267,11-16,.688,9,23,32,34.6,20,15,7,5,9,79,65.9,2019-2020
at Va. Wesleyan,12/15/19,64-74,L,28-55,.509,5-12,.417,13-22,.591,10,29,39,35.0,18,10,16,6,7,74,66.6,2019-2020
BETHANY,12/28/19,96-52,W,18-62,.290,4-16,.250,12-18,.667,9,27,36,35.1,24,8,19,8,5,52,65.4,2019-2020
WESLEY,12/29/19,97-78,W,21-70,.300,6-20,.300,30-42,.714,19,27,46,35.9,22,9,17,1,13,78,66.4,2019-2020
at Washington College,01/02/20,89-57,W,20-57,.351,3-13,.231,14-24,.583,8,26,34,35.8,14,9,13,1,5,57,65.7,2019-2020
at Widener,01/04/20,92-81,W,31-69,.449,6-18,.333,13-18,.722,11,26,37,35.9,21,13,11,2,2,81,66.7,2019-2020
YORK (PA.),01/10/20,79-68,W,27-69,.391,7-21,.333,7-19,.368,15,28,43,36.3,19,10,17,3,12,68,66.8,2019-2020
at Southern Virginia,01/15/20,83-55,W,20-57,.351,8-25,.320,7-11,.636,6,27,33,36.1,23,13,18,2,8,55,66.1,2019-2020
at Mary Washington,01/18/20,97-84,W,28-59,.475,6-15,.400,22-30,.733,8,22,30,35.8,21,5,13,6,8,84,67.1,2019-2020
at Salisbury,01/25/20,72-64,W,25-63,.397,2-13,.154,12-18,.667,11,24,35,35.7,23,6,12,2,7,64,66.9,2019-2020
ST. MARY'S (MD.),01/29/20,93-58,W,23-64,.359,2-7,.286,10-21,.476,12,25,37,35.8,22,8,17,3,7,58,66.5,2019-2020
MARY WASHINGTON,02/01/20,81-68,W,24-64,.375,5-23,.217,15-22,.682,14,29,43,36.1,18,8,11,5,6,68,66.6,2019-2020
at St. Mary's (MD),02/05/20,93-63,W,26-69,.377,3-21,.143,8-19,.421,16,20,36,36.1,14,5,13,3,9,63,66.4,2019-2020
at York (Pa.),02/08/20,97-101,Lot,28-66,.424,5-27,.185,40-54,.741,11,35,46,36.6,26,9,12,3,6,101,67.9,2019-2020
SALISBURY,02/15/20,82-64,W,25-59,.424,4-13,.308,10-13,.769,7,26,33,36.4,21,7,8,6,4,64,67.8,2019-2020
SOUTHERN VIRGINIA,02/19/20,84-66,W,23-56,.411,10-27,.370,10-14,.714,12,21,33,36.3,16,9,18,2,6,66,67.7,2019-2020
ST. MARY'S (MD.),02/26/20,100-63,W,18-66,.273,6-21,.286,21-24,.875,12,18,30,36.0,17,8,13,1,13,63,67.5,2019-2020
YORK (PA.),02/29/20,77-79,L,30-77,.390,12-45,.267,7-9,.778,19,27,46,36.4,16,14,10,5,8,79,67.9,2019-2020
vs Colby,03/06/20,74-64,W,26-69,.377,8-26,.308,4-12,.333,13,28,41,36.6,20,11,13,4,1,64,67.8,2019-2020
vs Nichols,03/07/20,91-82,W,30-71,.423,14-34,.412,8-11,.727,10,23,33,36.4,22,17,11,6,7,82,68.3,2019-2020
WASHINGTON COL.,11/05/21,102-37,W,14-57,.246,1-13,.077,8-15,.533,7,25,32,32.0,16,6,24,2,5,37,37.0,2021-2022
JOHNS HOPKINS,11/07/21,64-62,W,23-58,.397,11-27,.407,5-15,.333,11,30,41,36.5,15,13,14,6,6,62,49.5,2021-2022
vs Marietta,11/12/21,83-86,L,31-63,.492,3-8,.375,21-25,.840,10,24,34,35.7,26,8,10,1,12,86,61.7,2021-2022
vs Eastern,11/13/21,83-72,W,31-65,.477,2-8,.250,8-11,.727,14,18,32,34.8,20,10,18,1,6,72,64.2,2021-2022
at Lynchburg,11/21/21,66-83,L,28-61,.459,8-19,.421,19-25,.760,10,28,38,35.4,19,8,9,4,6,83,68.0,2021-2022
ALVERNIA,11/27/21,101-65,W,23-62,.371,3-18,.167,16-20,.800,7,22,29,34.3,19,11,9,4,7,65,67.5,2021-2022
RANDOLPH-MACON,11/28/21,77-76,Wot,29-65,.446,10-20,.500,8-14,.571,12,27,39,35.0,13,17,6,6,3,76,68.7,2021-2022
AVERETT,12/04/21,76-54,W,20-64,.313,4-13,.308,10-22,.455,16,28,44,36.1,20,7,13,10,5,54,66.9,2021-2022
LYNCHBURG,12/12/21,79-74,W,27-65,.415,4-17,.235,16-21,.762,14,27,41,36.7,16,5,13,4,9,74,67.7,2021-2022
at Hampden-Sydney,12/14/21,79-74,W,27-68,.397,11-24,.458,9-15,.600,9,21,30,36.0,20,13,12,0,12,74,68.3,2021-2022
VA. WESLEYAN,12/17/21,80-72,W,28-65,.431,3-17,.176,13-19,.684,11,24,35,35.9,13,12,6,5,5,72,68.6,2021-2022
vs Wash. & Lee,12/20/21,103-91,W,33-62,.532,13-25,.520,12-20,.600,8,21,29,35.3,18,17,19,1,9,91,70.5,2021-2022
SHENANDOAH,12/29/21,87-60,W,23-58,.397,4-14,.286,10-17,.588,7,25,32,35.1,13,12,18,7,9,60,69.7,2021-2022
SOUTHERN VA.,12/31/21,74-65,W,25-59,.424,8-20,.400,7-9,.778,8,23,31,34.8,17,13,15,2,7,65,69.4,2021-2022
WIDENER,01/02/22,85-47,W,18-51,.353,6-15,.400,5-11,.455,5,26,31,34.5,13,10,16,4,4,47,67.9,2021-2022
at Marymount (VA),01/08/22,91-66,W,23-52,.442,3-15,.200,17-26,.654,4,21,25,33.9,18,8,14,2,9,66,67.8,2021-2022
TCNJ,01/17/22,89-52,W,17-60,.283,7-23,.304,11-17,.647,9,26,35,34.0,18,6,15,2,3,52,66.8,2021-2022
at UC Santa Cruz,01/21/22,85-62,W,22-64,.344,3-17,.176,15-21,.714,6,25,31,33.8,14,9,10,3,3,62,66.6,2021-2022
at UC Santa Cruz,01/22/22,66-56,W,22-57,.386,6-14,.429,6-11,.545,11,20,31,33.7,18,3,17,2,10,56,66.0,2021-2022
at William Peace,01/26/22,91-69,W,27-58,.466,11-24,.458,4-9,.444,10,15,25,33.2,17,10,15,2,3,69,66.2,2021-2022
at Salisbury,02/02/22,62-55,W,23-66,.348,5-20,.250,4-10,.400,12,33,45,33.8,16,12,11,5,7,55,65.6,2021-2022
MARY WASHINGTON,02/09/22,78-71,W,27-62,.435,4-15,.267,13-19,.684,13,24,37,34.0,20,16,11,1,4,71,65.9,2021-2022
SALISBURY,02/12/22,80-76,W,31-67,.463,8-15,.533,6-8,.750,13,23,36,34.0,21,13,17,0,13,76,66.3,2021-2022
at Mary Washington,02/19/22,68-67,W,24-66,.364,7-27,.259,12-21,.571,14,31,45,34.5,16,6,10,4,2,67,66.3,2021-2022
UC SANTA CRUZ,02/25/22,89-69,W,26-65,.400,8-21,.381,9-9,1.000,14,27,41,34.8,17,11,16,4,1,69,66.4,2021-2022
MARY WASHINGTON,02/26/22,80-69,W,22-62,.355,8-28,.286,17-18,.944,10,22,32,34.7,18,9,10,5,6,69,66.5,2021-2022
BARUCH,03/04/22,88-50,W,19-63,.302,5-16,.313,7-10,.700,9,29,38,34.8,10,8,14,2,4,50,65.9,2021-2022
SUSQUEHANNA,03/05/22,81-67,W,26-63,.413,7-24,.292,8-13,.615,11,22,33,34.7,11,11,10,0,3,67,66.0,2021-2022
vs Stockton,03/11/22,93-54,W,21-71,.296,3-20,.150,9-14,.643,11,23,34,34.7,13,8,14,6,5,54,65.6,2021-2022
at Marietta,03/12/22,79-81,L,25-59,.424,12-24,.500,19-30,.633,11,37,48,35.1,22,14,10,3,2,81,66.1,2021-2022
at Johns Hopkins,11/09/22,74-61,W,25-72,.347,3-21,.143,8-16,.500,16,30,46,46.0,15,13,10,5,4,61,61.0,2022-2023
LYNCHBURG,11/12/22,96-64,W,26-68,.382,4-19,.211,8-13,.615,7,21,28,37.0,23,13,15,1,11,64,62.5,2022-2023
vs Wash. & Lee,11/18/22,85-84,Wot,32-70,.457,7-21,.333,13-17,.765,12,39,51,41.7,15,10,16,0,5,84,69.7,2022-2023
at Susquehanna,11/19/22,81-57,W,19-50,.380,4-8,.500,15-18,.833,5,19,24,37.2,22,5,18,5,9,57,66.5,2022-2023
METHODIST,11/22/22,82-59,W,22-60,.367,6-14,.429,9-12,.750,7,17,24,34.6,18,10,14,6,12,59,65.0,2022-2023
SARAH LAWRENCE,11/26/22,87-52,W,23-55,.418,5-16,.313,1-3,.333,9,17,26,33.2,15,10,17,3,3,52,62.8,2022-2023
NC WESLEYAN,11/27/22,79-71,W,30-66,.455,1-9,.111,10-18,.556,9,24,33,33.1,28,13,14,5,9,71,64.0,2022-2023
at Averett,12/03/22,71-54,W,20-61,.328,5-16,.313,9-19,.474,15,21,36,33.5,20,6,11,4,7,54,62.8,2022-2023
MARYMOUNT,12/11/22,81-66,W,21-49,.429,5-17,.294,19-23,.826,4,24,28,32.9,13,10,15,0,3,66,63.1,2022-2023
HAMPDEN-SYDNEY,12/13/22,70-85,L,34-62,.548,9-20,.450,8-12,.667,12,28,40,33.6,20,17,18,1,12,85,65.3,2022-2023
at Va. Wesleyan,12/15/22,76-77,L,32-54,.593,4-10,.400,9-12,.750,8,17,25,32.8,16,14,15,2,5,77,66.4,2022-2023
vs Elmhurst,12/20/22,82-74,W,22-47,.468,6-22,.273,24-28,.857,11,25,36,33.1,24,10,22,4,2,74,67.0,2022-2023
vs TCNJ,12/21/22,89-44,W,17-48,.354,2-15,.133,8-10,.800,1,18,19,32.0,12,7,11,0,4,44,65.2,2022-2023
CABRINI,12/29/22,76-55,W,18-57,.316,6-19,.316,13-20,.650,5,26,31,31.9,9,8,6,2,9,55,64.5,2022-2023
WILMINGTON (OHIO),12/30/22,98-48,W,14-64,.219,5-18,.278,15-21,.714,13,14,27,31.6,17,8,11,6,9,48,63.4,2022-2023
BRANDEIS,01/02/23,79-73,W,24-57,.421,3-16,.188,22-25,.880,9,22,31,31.6,27,11,10,1,6,73,64.0,2022-2023
at York (Pa.),01/07/23,75-72,Wot,28-59,.475,8-24,.333,8-15,.533,10,25,35,31.8,18,13,12,3,4,72,64.5,2022-2023
at Randolph-Macon,01/11/23,59-64,L,22-58,.379,4-12,.333,16-20,.800,12,24,36,32.0,12,8,5,7,5,64,64.4,2022-2023
at Bridgewater St.,01/14/23,90-79,W,32-64,.500,9-24,.375,6-9,.667,9,34,43,32.6,20,23,25,2,11,79,65.2,2022-2023
at Eastern Nazarene,01/16/23,98-59,W,24-70,.343,5-20,.250,6-9,.667,12,18,30,32.5,15,10,12,0,6,59,64.9,2022-2023
SALISBURY,01/28/23,84-74,W,28-62,.452,5-14,.357,13-18,.722,10,26,36,32.6,18,13,7,3,3,74,65.3,2022-2023
at Mary Washington,02/01/23,67-53,W,16-61,.262,4-26,.154,17-24,.708,16,24,40,33.0,15,7,10,5,10,53,64.8,2022-2023
UC SANTA CRUZ,02/04/23,74-61,W,23-65,.354,2-15,.133,13-18,.722,16,26,42,33.3,20,12,10,4,8,61,64.6,2022-2023
at Salisbury,02/11/23,85-73,W,28-69,.406,4-20,.200,13-19,.684,19,21,40,33.6,20,9,12,2,6,73,65.0,2022-2023
MARY WASHINGTON,02/15/23,71-66,W,23-53,.434,6-17,.353,14-22,.636,5,20,25,33.3,23,16,15,3,13,66,65.0,2022-2023
at UC Santa Cruz,02/24/23,81-73,W,27-60,.450,6-13,.462,13-19,.684,13,24,37,33.4,20,12,19,6,9,73,65.3,2022-2023
vs Mary Washington,02/25/23,65-52,W,20-55,.364,4-19,.211,8-16,.500,10,21,31,33.3,19,11,12,1,8,52,64.8,2022-2023
vs Farmingdale St.,03/03/23,61-60,W,22-72,.306,4-10,.400,12-18,.667,12,38,50,33.9,16,9,7,2,6,60,64.6,2022-2023
at Hampden-Sydney,03/04/23,72-59,W,23-74,.311,5-25,.200,8-10,.800,15,26,41,34.2,26,12,11,2,7,59,64.4,2022-2023
