Opponent,Date,Score,w/l,fgm-fga,pct,3fg-fga,pct,ftm-fta,pct,off,def,tot,avg,pf,ast,t/o,blk,stl,pts,avg,Season
at Wesley,01/04/17,71-62,W,26-54,.481,8-18,.444,11-18,.611,10,15,25,41.3,18,10,10,4,6,71,74.2,2016-2017
at Marymount (VA),01/08/17,70-57,W,25-65,.385,9-27,.333,11-18,.611,15,21,36,40.9,18,11,9,1,7,70,73.9,2016-2017
ST. MARY'S (MD.),01/11/17,68-60,W,22-58,.379,5-27,.185,19-31,.613,13,20,33,40.4,21,11,10,8,10,68,73.5,2016-2017
at Penn St. Harrisburg,01/14/17,73-55,W,23-49,.469,8-20,.400,19-36,.528,12,26,38,40.2,24,11,11,2,4,73,73.5,2016-2017
MARY WASHINGTON,01/18/17,81-65,W,29-61,.475,11-23,.478,12-19,.632,11,33,44,40.4,19,18,10,4,5,81,73.9,2016-2017
at Frostburg,01/21/17,93-67,W,35-62,.565,10-20,.500,13-21,.619,11,26,37,40.2,16,21,8,2,7,93,75.1,2016-2017
SALISBURY,01/25/17,55-53,W,17-47,.362,5-21,.238,16-21,.762,8,31,39,40.2,14,8,16,4,5,55,73.9,2016-2017
PENN ST. HARRISBURG,01/28/17,75-47,W,25-69,.362,8-29,.276,17-25,.680,24,38,62,41.3,19,15,13,6,10,75,74.0,2016-2017
at Mary Washington,02/01/17,73-63,W,24-57,.421,11-20,.550,14-25,.560,10,35,45,41.5,21,6,13,7,4,73,73.9,2016-2017
at St. Mary's (Md.),02/04/17,88-61,W,33-59,.559,6-20,.300,16-30,.533,15,33,48,41.8,21,16,14,6,6,88,74.6,2016-2017
MARYMOUNT (VA),02/08/17,72-52,W,29-64,.453,9-23,.391,5-12,.417,16,28,44,41.9,21,12,15,4,9,72,74.5,2016-2017
WESLEY,02/11/17,90-50,W,35-63,.556,9-25,.360,11-16,.688,9,34,43,42.0,12,26,12,6,10,90,75.2,2016-2017
at Southern Virginia,02/15/17,69-45,W,26-56,.464,8-21,.381,9-17,.529,9,29,38,41.8,21,10,13,4,7,69,74.9,2016-2017
at York (Pa.),02/18/17,70-59,W,19-49,.388,5-22,.227,27-34,.794,14,32,46,42.0,21,9,20,2,9,70,74.7,2016-2017
MARYMOUNT (VA),02/23/17,78-53,W,30-57,.526,5-16,.313,13-21,.619,12,27,39,41.8,19,15,7,4,10,78,74.8,2016-2017
SALISBURY,02/25/17,63-62,W,22-56,.393,7-23,.304,12-20,.600,13,24,37,41.7,19,10,8,8,6,63,74.4,2016-2017
vs Morrisville State,03/03/17,81-45,W,33-60,.550,9-25,.360,6-12,.500,15,26,41,41.6,19,11,13,1,5,81,74.6,2016-2017
at Swarthmore,03/04/17,77-67,W,29-61,.475,7-18,.389,12-22,.545,19,23,42,41.7,12,7,11,5,5,77,74.7,2016-2017
vs Keene State,03/10/17,64-68,L,23-62,.371,9-33,.273,9-23,.391,14,24,38,41.5,22,10,9,5,6,64,74.4,2016-2017
at Randolph-Macon,11/15/17,69-64,W,25-52,.481,8-22,.364,11-15,.733,8,29,37,37.0,14,18,17,2,5,69,69.0,2017-2018
vs Catholic,11/18/17,80-78,W,28-58,.483,10-23,.435,14-24,.583,8,28,36,36.5,18,16,17,3,9,80,74.5,2017-2018
vs Wilmington (Ohio),11/19/17,82-64,W,30-55,.545,4-17,.235,18-28,.643,13,38,51,41.3,23,15,20,1,2,82,77.0,2017-2018
DICKINSON,11/26/17,54-64,L,19-54,.352,4-21,.190,12-15,.800,11,32,43,41.8,13,7,26,4,11,54,71.2,2017-2018
SALISBURY,11/29/17,71-66,W,25-46,.543,8-18,.444,13-19,.684,10,25,35,40.4,13,18,23,9,5,71,71.2,2017-2018
FROSTBURG STATE,12/02/17,81-83,Lot,30-76,.395,10-24,.417,11-20,.550,17,34,51,42.2,16,10,18,2,4,81,72.8,2017-2018
at St. Mary's (Md.),12/06/17,76-52,W,31-61,.508,8-19,.421,6-9,.667,11,28,39,41.7,11,10,13,3,8,76,73.3,2017-2018
WESLEY,12/10/17,83-69,W,26-59,.441,12-28,.429,19-27,.704,15,35,50,42.8,17,15,20,10,5,83,74.5,2017-2018
at Va. Wesleyan,12/18/17,71-68,W,26-63,.413,3-15,.200,16-19,.842,14,29,43,42.8,13,10,12,1,6,71,74.1,2017-2018
SHENANDOAH,12/29/17,74-71,W,27-61,.443,9-22,.409,11-19,.579,12,27,39,42.4,17,17,16,7,5,74,74.1,2017-2018
JOHNS HOPKINS,12/30/17,54-44,W,20-51,.392,6-18,.333,8-14,.571,8,34,42,42.4,10,11,17,6,4,54,72.3,2017-2018
PENN ST. HARRISBURG,01/03/18,73-63,W,30-72,.417,7-29,.241,6-10,.600,15,31,46,42.7,22,13,12,8,8,73,72.3,2017-2018
at Marymount (Va.),01/06/18,58-60,L,22-48,.458,7-16,.438,7-13,.538,9,25,34,42.0,20,13,20,3,9,58,71.2,2017-2018
at Southern Virginia,01/10/18,83-58,W,33-69,.478,12-27,.444,5-12,.417,8,29,37,41.6,16,21,8,5,11,83,72.1,2017-2018
at York (Pa.),01/13/18,69-79,L,27-67,.403,8-25,.320,7-9,.778,11,24,35,41.2,22,17,12,2,9,69,71.9,2017-2018
MARY WASHINGTON,01/17/18,76-62,W,30-61,.492,10-26,.385,6-14,.429,11,40,51,41.8,18,20,16,6,4,76,72.1,2017-2018
at Frostburg State,01/20/18,85-80,W,30-68,.441,9-24,.375,16-18,.889,14,25,39,41.6,17,20,12,2,3,85,72.9,2017-2018
ST. MARY'S (MD.),01/24/18,64-50,W,23-54,.426,9-26,.346,9-10,.900,7,22,29,40.9,13,18,10,3,7,64,72.4,2017-2018
at Wesley,01/27/18,68-48,W,25-56,.446,13-33,.394,5-14,.357,12,32,44,41.1,19,21,15,5,4,68,72.2,2017-2018
at Salisbury,01/31/18,72-57,W,20-46,.435,11-21,.524,21-32,.656,11,32,43,41.2,24,16,12,5,3,72,72.2,2017-2018
MARYMOUNT (VA.),02/03/18,66-68,L,23-53,.434,5-20,.250,15-19,.789,9,20,29,40.6,13,14,8,5,4,66,71.9,2017-2018
SOUTHERN VIRGINIA,02/07/18,76-62,W,23-58,.397,12-28,.429,18-26,.692,12,31,43,40.7,16,16,15,6,7,76,72.0,2017-2018
at Penn St. Harrisburg,02/10/18,69-53,W,24-51,.471,8-24,.333,13-26,.500,10,31,41,40.7,20,7,16,3,6,69,71.9,2017-2018
at Mary Washington,02/14/18,75-71,W,27-60,.450,12-31,.387,9-14,.643,9,34,43,40.8,16,12,16,5,5,75,72.0,2017-2018
YORK (PA.),02/17/18,81-71,W,26-58,.448,8-23,.348,21-27,.778,10,32,42,40.9,25,9,16,5,8,81,72.4,2017-2018
MARY WASHINGTON,02/22/18,90-74,W,28-49,.571,9-21,.429,25-28,.893,6,32,38,40.8,15,16,18,4,4,90,73.1,2017-2018
YORK (PA.),02/24/18,73-82,L,26-60,.433,9-25,.360,12-18,.667,10,23,33,40.5,21,9,13,4,6,73,73.1,2017-2018
LANCASTER BIBLE,03/02/18,68-65,W,25-54,.463,11-29,.379,7-10,.700,8,29,37,40.4,18,17,16,8,6,68,72.9,2017-2018
FRANKLIN & MARSHALL,03/03/18,52-66,L,18-45,.400,6-21,.286,10-15,.667,6,26,32,40.1,17,9,20,8,3,52,72.2,2017-2018
vs Trinity (TX),11/17/18,67-51,W,23-59,.390,13-40,.325,8-15,.533,16,24,40,40.0,27,19,18,3,9,67,67.0,2018-2019
at Marymount (VA),11/18/18,66-56,W,25-61,.410,4-18,.222,12-21,.571,14,31,45,42.5,20,7,15,1,4,66,66.5,2018-2019
METHODIST,11/24/18,73-59,W,24-59,.407,7-28,.250,18-20,.900,9,33,42,42.3,17,13,12,7,7,73,68.7,2018-2019
JOHN CARROLL,11/25/18,109-73,W,39-84,.464,11-28,.393,20-24,.833,23,31,54,45.2,26,23,12,5,7,109,78.8,2018-2019
at Shenandoah,11/28/18,91-78,W,32-66,.485,9-26,.346,18-31,.581,12,42,54,47.0,26,16,20,6,2,91,81.2,2018-2019
vs Randolph,12/01/18,82-48,W,28-60,.467,11-28,.393,15-18,.833,10,35,45,46.7,13,12,10,2,4,82,81.3,2018-2019
at Lynchburg,12/02/18,64-77,L,22-59,.373,8-30,.267,12-21,.571,5,27,32,44.6,19,10,12,1,2,64,78.9,2018-2019
RANDOLPH-MACON,12/08/18,72-61,W,25-59,.424,9-26,.346,13-18,.722,16,26,42,44.2,14,12,8,6,3,72,78.0,2018-2019
VA. WESLEYAN,12/16/18,97-67,W,35-70,.500,12-25,.480,15-20,.750,20,30,50,44.9,19,19,12,2,5,97,80.1,2018-2019
MT. ST. MARY (NY),12/28/18,80-47,W,29-67,.433,15-43,.349,7-10,.700,16,38,54,45.8,22,17,16,3,6,80,80.1,2018-2019
HUNTINGDON,12/29/18,79-52,W,22-54,.407,10-28,.357,25-31,.806,16,30,46,45.8,18,17,19,9,8,79,80.0,2018-2019
YORK (PA.),01/02/19,73-71,W,20-51,.392,5-22,.227,28-36,.778,16,18,34,44.8,19,7,10,4,9,73,79.4,2018-2019
at Mary Washington,01/05/19,61-69,L,20-51,.392,10-25,.400,11-17,.647,5,29,34,44.0,17,12,14,2,3,61,78.0,2018-2019
ST. MARY'S (MD.),01/09/19,79-52,W,27-54,.500,11-26,.423,14-19,.737,6,40,46,44.1,20,19,18,11,6,79,78.1,2018-2019
at Frostburg State,01/12/19,75-65,W,26-59,.441,7-21,.333,16-22,.727,16,29,45,44.2,12,12,13,1,2,75,77.9,2018-2019
at Southern Virginia,01/16/19,77-54,W,30-67,.448,10-30,.333,7-9,.778,12,20,32,43.4,11,19,7,5,6,77,77.8,2018-2019
PENN ST. HARRISBURG,01/19/19,89-61,W,33-69,.478,13-35,.371,10-14,.714,17,23,40,43.2,21,24,11,4,7,89,78.5,2018-2019
SALISBURY,01/23/19,67-64,W,24-62,.387,9-25,.360,10-22,.455,9,33,42,43.2,11,14,8,6,8,67,77.8,2018-2019
at York (Pa.),01/26/19,81-82,L,27-54,.500,10-22,.455,17-28,.607,10,25,35,42.7,26,13,16,1,6,81,78.0,2018-2019
at St. Mary's (Md.),01/30/19,79-76,W,28-64,.438,12-28,.429,11-13,.846,10,18,28,42.0,15,15,8,1,3,79,78.1,2018-2019
MARY WASHINGTON,02/02/19,80-66,W,29-51,.569,12-27,.444,10-13,.769,6,34,40,41.9,19,24,20,4,6,80,78.1,2018-2019
SOUTHERN VIRGINIA,02/06/19,67-64,W,20-72,.278,8-28,.286,19-27,.704,21,29,50,42.3,13,12,7,1,6,67,77.6,2018-2019
FROSTBURG STATE,02/09/19,72-64,W,21-55,.382,9-25,.360,21-24,.875,11,28,39,42.1,18,12,12,4,2,72,77.4,2018-2019
at Salisbury,02/13/19,91-74,W,31-57,.544,15-28,.536,14-17,.824,10,32,42,42.1,14,15,19,3,4,91,78.0,2018-2019
at Penn St.-Harrisburg,02/16/19,96-52,W,34-61,.557,14-31,.452,14-17,.824,6,36,42,42.1,12,17,9,3,5,96,78.7,2018-2019
SOUTHERN VIRGINIA,02/19/19,89-59,W,31-66,.470,18-36,.500,9-12,.750,10,24,34,41.8,12,26,8,2,9,89,79.1,2018-2019
SALISBURY,02/21/19,87-71,W,25-45,.556,9-21,.429,28-40,.700,8,25,33,41.5,22,16,12,2,5,87,79.4,2018-2019
YORK (PA.),02/23/19,78-56,W,27-57,.474,8-26,.308,16-25,.640,9,38,47,41.7,17,10,14,3,6,78,79.3,2018-2019
ALBERTUS MAGNUS,03/01/19,85-59,W,27-62,.435,8-23,.348,23-29,.793,14,28,42,41.7,14,18,11,3,9,85,79.5,2018-2019
ALFRED,03/02/19,88-53,W,31-66,.470,16-34,.471,10-12,.833,12,37,49,41.9,12,20,11,5,5,88,79.8,2018-2019
at Hamilton,03/08/19,75-67,W,26-66,.394,5-14,.357,18-25,.720,16,38,54,42.3,13,8,13,1,3,75,79.6,2018-2019
vs Williams,03/09/19,79-70,W,26-54,.481,7-22,.318,20-26,.769,7,20,27,41.8,16,12,11,2,7,79,79.6,2018-2019
vs Swarthmore,03/15/19,63-70,L,21-65,.323,6-25,.240,15-21,.714,12,30,42,41.8,21,10,10,0,6,63,79.1,2018-2019
at Johns Hopkins,11/09/19,74-78,L,24-52,.462,10-25,.400,16-24,.667,5,28,33,33.0,25,11,15,0,5,74,74.0,2019-2020
SHENANDOAH,11/12/19,85-62,W,34-83,.410,10-32,.313,7-9,.778,22,38,60,46.5,18,20,17,6,6,85,79.5,2019-2020
vs Marywood University,11/15/19,87-56,W,30-66,.455,8-25,.320,19-25,.760,13,34,47,46.7,16,19,13,2,12,87,82.0,2019-2020
at Franklin & Marshall,11/16/19,74-66,W,28-51,.549,9-17,.529,9-13,.692,10,25,35,43.8,15,17,23,1,11,74,80.0,2019-2020
RANDOLPH,11/22/19,66-58,W,26-80,.325,10-32,.313,4-5,.800,23,36,59,46.8,11,15,16,8,8,66,77.2,2019-2020
LYNCHBURG,11/23/19,79-77,W,26-67,.388,7-26,.269,20-26,.769,18,30,48,47.0,13,15,10,3,3,79,77.5,2019-2020
UT DALLAS,11/30/19,90-62,W,32-59,.542,16-28,.571,10-13,.769,8,31,39,45.9,19,27,17,4,6,90,79.3,2019-2020
WISC.-STEVENS POINT,12/01/19,58-61,L,21-51,.412,8-22,.364,8-12,.667,12,23,35,44.5,14,12,19,7,6,58,76.6,2019-2020
WILLIAM PEACE,12/04/19,83-60,W,30-70,.429,6-21,.286,17-29,.586,22,33,55,45.7,24,20,17,7,8,83,77.3,2019-2020
at Randolph-Macon,12/07/19,62-79,L,22-55,.400,4-15,.267,14-20,.700,13,24,37,44.8,13,13,18,3,6,62,75.8,2019-2020
at Va. Wesleyan,12/15/19,64-74,L,26-67,.388,3-10,.300,9-15,.600,15,23,38,44.2,19,5,11,0,11,64,74.7,2019-2020
BETHANY,12/28/19,96-52,W,35-78,.449,6-25,.240,20-29,.690,20,39,59,45.4,17,25,9,8,12,96,76.5,2019-2020
WESLEY,12/29/19,97-78,W,34-70,.486,16-41,.390,13-24,.542,14,36,50,45.8,28,28,20,8,5,97,78.1,2019-2020
at Washington College,01/02/20,89-57,W,33-64,.516,12-26,.462,11-18,.611,10,33,43,45.6,23,22,12,1,7,89,78.9,2019-2020
at Widener,01/04/20,92-81,W,34-64,.531,10-24,.417,14-23,.609,11,30,41,45.3,17,19,13,7,1,92,79.7,2019-2020
YORK (PA.),01/10/20,79-68,W,30-62,.484,7-23,.304,12-20,.600,9,35,44,45.2,23,15,19,4,7,79,79.7,2019-2020
at Southern Virginia,01/15/20,83-55,W,29-65,.446,10-31,.323,15-24,.625,12,33,45,45.2,14,22,15,0,10,83,79.9,2019-2020
at Mary Washington,01/18/20,97-84,W,31-65,.477,14-30,.467,21-23,.913,14,31,45,45.2,22,22,15,3,6,97,80.8,2019-2020
at Salisbury,01/25/20,72-64,W,23-57,.404,9-24,.375,17-26,.654,13,32,45,45.2,18,14,14,6,4,72,80.4,2019-2020
ST. MARY'S (MD.),01/29/20,93-58,W,33-64,.516,14-29,.483,13-18,.722,11,38,49,45.3,19,18,15,7,8,93,81.0,2019-2020
MARY WASHINGTON,02/01/20,81-68,W,27-64,.422,13-32,.406,14-20,.700,13,31,44,45.3,19,18,9,4,4,81,81.0,2019-2020
at St. Mary's (MD),02/05/20,93-63,W,38-73,.521,13-25,.520,4-8,.500,18,35,53,45.6,20,20,12,8,8,93,81.5,2019-2020
at York (Pa.),02/08/20,97-101,Lot,31-74,.419,16-40,.400,19-31,.613,15,36,51,45.9,41,20,19,2,4,97,82.2,2019-2020
SALISBURY,02/15/20,82-64,W,32-72,.444,7-27,.259,11-22,.500,20,29,49,46.0,13,16,6,5,3,82,82.2,2019-2020
SOUTHERN VIRGINIA,02/19/20,84-66,W,33-58,.569,10-28,.357,8-14,.571,9,23,32,45.4,15,26,13,4,10,84,82.3,2019-2020
ST. MARY'S (MD.),02/26/20,100-63,W,38-67,.567,13-28,.464,11-14,.786,14,38,52,45.7,18,22,18,5,7,100,83.0,2019-2020
YORK (PA.),02/29/20,77-79,L,29-66,.439,9-27,.333,10-16,.625,13,30,43,45.6,14,10,11,5,3,77,82.7,2019-2020
vs Colby,03/06/20,74-64,W,27-68,.397,4-24,.167,16-24,.667,15,34,49,45.7,18,15,11,1,6,74,82.4,2019-2020
vs Nichols,03/07/20,91-82,W,32-74,.432,12-24,.500,15-25,.600,23,32,55,46.0,13,16,14,3,8,91,82.7,2019-2020
WASHINGTON COL.,11/05/21,102-37,W,39-74,.527,11-28,.393,13-20,.650,15,40,55,55.0,15,26,12,7,16,102,102.0,2021-2022
JOHNS HOPKINS,11/07/21,64-62,W,25-64,.391,7-19,.368,7-13,.538,13,30,43,49.0,12,13,10,8,4,64,83.0,2021-2022
vs Marietta,11/12/21,83-86,L,29-60,.483,8-23,.348,17-24,.708,10,24,34,44.0,20,13,14,3,2,83,83.0,2021-2022
vs Eastern,11/13/21,83-72,W,28-55,.509,7-20,.350,20-27,.741,13,22,35,41.8,13,17,18,9,8,83,83.0,2021-2022
at Lynchburg,11/21/21,66-83,L,24-59,.407,6-19,.316,12-21,.571,13,24,37,40.8,19,6,16,7,3,66,79.6,2021-2022
ALVERNIA,11/27/21,101-65,W,38-74,.514,16-36,.444,9-16,.563,19,36,55,43.2,16,24,14,14,5,101,83.2,2021-2022
RANDOLPH-MACON,11/28/21,77-76,Wot,30-71,.423,8-17,.471,9-15,.600,18,27,45,43.4,14,17,5,7,4,77,82.3,2021-2022
AVERETT,12/04/21,76-54,W,28-64,.438,6-17,.353,14-18,.778,12,35,47,43.9,20,20,8,6,4,76,81.5,2021-2022
LYNCHBURG,12/12/21,79-74,W,29-67,.433,8-26,.308,13-22,.591,15,28,43,43.8,18,18,12,8,9,79,81.2,2021-2022
at Hampden-Sydney,12/14/21,79-74,W,28-59,.475,8-25,.320,15-20,.750,12,36,48,44.2,15,18,20,3,10,79,81.0,2021-2022
VA. WESLEYAN,12/17/21,80-72,W,31-68,.456,9-20,.450,9-13,.692,16,30,46,44.4,17,21,10,11,4,80,80.9,2021-2022
vs Wash. & Lee,12/20/21,103-91,W,38-69,.551,9-26,.346,18-22,.818,11,25,36,43.7,17,19,15,5,6,103,82.8,2021-2022
SHENANDOAH,12/29/21,87-60,W,38-80,.475,10-30,.333,1-2,.500,17,31,48,44.0,18,23,15,10,8,87,83.1,2021-2022
SOUTHERN VA.,12/31/21,74-65,W,29-67,.433,4-20,.200,12-14,.857,16,28,44,44.0,12,17,12,9,11,74,82.4,2021-2022
WIDENER,01/02/22,85-47,W,34-73,.466,13-30,.433,4-10,.400,17,32,49,44.3,15,24,7,7,8,85,82.6,2021-2022
at Marymount (VA),01/08/22,91-66,W,40-73,.548,7-23,.304,4-11,.364,15,30,45,44.4,20,14,15,3,5,91,83.1,2021-2022
TCNJ,01/17/22,89-52,W,34-77,.442,7-26,.269,14-18,.778,21,37,58,45.2,20,16,9,7,8,89,83.5,2021-2022
at UC Santa Cruz,01/21/22,85-62,W,32-68,.471,5-17,.294,16-23,.696,16,39,55,45.7,20,9,12,3,7,85,83.6,2021-2022
at UC Santa Cruz,01/22/22,66-56,W,25-54,.463,5-14,.357,11-20,.550,12,29,41,45.5,16,11,17,3,7,66,82.6,2021-2022
at William Peace,01/26/22,91-69,W,37-65,.569,7-18,.389,10-19,.526,18,22,40,45.2,11,18,11,2,6,91,83.1,2021-2022
at Salisbury,02/02/22,62-55,W,21-63,.333,6-21,.286,14-15,.933,10,35,45,45.2,11,8,10,7,6,62,82.0,2021-2022
MARY WASHINGTON,02/09/22,78-71,W,26-61,.426,6-20,.300,20-28,.714,15,25,40,45.0,19,13,10,5,7,78,81.9,2021-2022
SALISBURY,02/12/22,80-76,W,24-55,.436,10-18,.556,22-28,.786,11,24,35,44.5,13,14,16,7,8,80,81.8,2021-2022
at Mary Washington,02/19/22,68-67,W,26-65,.400,6-17,.353,10-17,.588,12,34,46,44.6,17,11,13,6,3,68,81.2,2021-2022
UC SANTA CRUZ,02/25/22,89-69,W,32-68,.471,8-24,.333,17-23,.739,13,25,38,44.3,13,13,4,9,8,89,81.5,2021-2022
MARY WASHINGTON,02/26/22,80-69,W,29-64,.453,6-22,.273,16-22,.727,17,31,48,44.5,18,11,15,10,5,80,81.5,2021-2022
BARUCH,03/04/22,88-50,W,36-80,.450,11-39,.282,5-6,.833,15,36,51,44.7,13,24,7,5,12,88,81.7,2021-2022
SUSQUEHANNA,03/05/22,81-67,W,33-60,.550,9-21,.429,6-9,.667,7,30,37,44.4,15,25,9,6,5,81,81.7,2021-2022
vs Stockton,03/11/22,93-54,W,39-71,.549,11-23,.478,4-7,.571,11,42,53,44.7,18,17,15,8,6,93,82.1,2021-2022
at Marietta,03/12/22,79-81,L,24-63,.381,10-21,.476,21-31,.677,10,28,38,44.5,24,8,6,5,4,79,82.0,2021-2022
