Opponent,Date,Score,w/l,fgm-fga,pct,3fg-fga,pct,ftm-fta,pct,off,def,tot,avg,pf,ast,t/o,blk,stl,pts,avg,Season
FERRUM,1/14/12,107-79,W,39-64,.609,10-17,.588,19-25,.760,12,32,44,44.9,17,18,20,10,6,107,83.3,2011-2012
SHENANDOAH,1/18/12,77-58,W,26-63,.413,6-16,.375,19-30,.633,20,34,54,45.4,19,13,13,3,8,77,82.9,2011-2012
at Greensboro College,1/21/12,91-69,W,33-67,.493,5-14,.357,20-31,.645,18,37,55,46.0,17,12,16,6,5,91,83.4,2011-2012
SALISBURY,1/23/12,81-65,W,27-52,.519,3-12,.250,24-31,.774,11,24,35,45.4,15,8,16,4,16,81,83.2,2011-2012
at Averett,1/25/12,91-72,W,35-73,.479,12-33,.364,9-13,.692,19,28,47,45.5,24,21,14,2,9,91,83.6,2011-2012
vs #5 Va. Wesleyan,1/28/12,74-89,L,27-61,.443,1-13,.077,19-27,.704,11,29,40,45.2,13,7,16,7,5,74,83.2,2011-2012
N.C. WESLEYAN,1/31/12,73-71,W,26-60,.433,5-19,.263,16-21,.762,10,24,34,44.7,16,14,11,11,7,73,82.7,2011-2012
at Ferrum,2/5/12,85-78,W,32-61,.525,5-13,.385,16-26,.615,17,20,37,44.3,19,15,14,3,5,85,82.8,2011-2012
GREENSBORO COLLEGE,2/11/12,106-79,W,34-61,.557,17-29,.586,21-27,.778,15,21,36,44.0,18,21,14,5,8,106,83.8,2011-2012
at Shenandoah Hornets,2/15/12,69-60,W,22-59,.373,7-26,.269,18-35,.514,16,29,45,44.0,18,13,15,3,5,69,83.2,2011-2012
AVERETT,2/18/12,99-95,W,32-65,.492,12-28,.429,23-33,.697,11,26,37,43.7,23,17,16,7,5,99,83.8,2011-2012
METHODIST,2/24/12,97-62,W,35-66,.530,17-29,.586,10-11,.909,9,33,42,43.7,15,20,8,10,7,97,84.3,2011-2012
GREENSBORO COLLEGE,2/26/12,82-72,W,30-48,.625,3-13,.231,19-30,.633,4,25,29,43.1,14,16,19,4,5,82,84.2,2011-2012
vs Western Connecticut,3/2/2012,84-94,L,32-65,.492,5-13,.385,15-22,.682,9,28,37,42.9,24,14,13,6,6,84,84.2,2011-2012
RANDOLPH-MACON,11/15/12,77-70,W,28-68,.412,5-21,.238,16-28,.571,16,35,51,51.0,15,10,15,5,7,77,77.0,2012-2013
at Salisbury,11/20/12,77-63,W,29-60,.483,9-22,.409,10-16,.625,11,24,35,43.0,22,12,14,4,7,77,77.0,2012-2013
WESLEY,11/24/12,81-79,Wot,25-68,.368,4-29,.138,27-39,.692,9,40,49,45.0,28,13,29,5,9,81,78.3,2012-2013
JOHN CARROLL,11/25/12,85-84,W,29-59,.492,7-13,.538,20-23,.870,13,22,35,42.5,12,13,13,3,6,85,80.0,2012-2013
at Maryville College Scots,12/1/12,79-62,W,28-58,.483,3-15,.200,20-24,.833,9,27,36,41.2,19,4,7,4,7,79,79.8,2012-2013
at St. Mary's (Md.),12/5/12,60-65,L,21-58,.362,9-23,.391,9-12,.750,19,18,37,40.5,16,13,17,2,6,60,76.5,2012-2013
